profile_id,user_id,nickname,email,age,gender,location,job,height,education,religion,smoking,bio,search_radius,profile_image_url,view_count,estimated_duration
104,104,채원,seoyeon36@example.net,21,남성,당진시,해외 영업원,189,대졸,무교,흡연자,Quia sunt quia. Harum labore aliquid harum cumque incidunt voluptatibus. Commodi ut nisi.,"[10, 20]",https://example.com/profile_104.jpg,6911,216
105,105,주원,bagdoyun@example.net,31,여성,단양군,대학 시간강사,189,대졸,불교,비흡연자,"Corrupti recusandae ad necessitatibus ab quia.
Expedita occaecati ea nobis quibusdam delectus.","[20, 10, 40]",https://example.com/profile_105.jpg,9594,262
106,106,현우,gweoncunja@example.com,30,남성,화천군,무용가 및 안무가,157,대학원졸,무교,비흡연자,"Minima eius quasi rerum. Aliquid rem neque at qui a exercitationem.
Omnis dolor ratione ad incidunt. Iste laudantium nemo dignissimos dolor.","[10, 20, 5, 40, 20, 40]",https://example.com/profile_106.jpg,7176,300
107,107,은경,tgim@example.com,27,여성,의정부시,산업안전 및 위험 관리원,166,고졸,불교,비흡연자,Quia sapiente quos porro. Eveniet tempore veniam fugiat aut velit id. Impedit neque in totam.,"[20, 40, 20, 10]",https://example.com/profile_107.jpg,6826,122
108,108,아름,hyeonjiyun@example.net,23,남성,동해시,텔레마케터,159,대학원졸,불교,비흡연자,Repellendus autem autem necessitatibus sed quisquam. Voluptatibus commodi illo beatae aperiam fugiat.,"[15, 30, 20]",https://example.com/profile_108.jpg,5946,297
109,109,상현,hwangujin@example.org,37,여성,부여군,펄프 및 종이 제조장치 조작원,150,고졸,기독교,흡연자,Reprehenderit quibusdam quisquam quis debitis veritatis. Temporibus sed vitae earum voluptate maiores nesciunt. Natus sint recusandae quod.,[20],https://example.com/profile_109.jpg,8044,234
110,110,지원,migyeong25@example.net,38,여성,양구군,전기 및 전자 설비 조작원,172,고졸,무교,흡연자,Molestias voluptate quas temporibus possimus. Pariatur inventore hic ipsum repellendus magnam.,"[20, 5, 40, 15]",https://example.com/profile_110.jpg,1403,165
111,111,영식,yangseongsu@example.com,27,여성,안성시,철도 및 전동차 기관사,155,대졸,천주교,비흡연자,Exercitationem quisquam esse nam rem. Officia itaque neque nemo beatae ad quae tempore. Facere mollitia blanditiis.,"[15, 20, 5, 15]",https://example.com/profile_111.jpg,9548,74
112,112,영일,xmun@example.net,34,여성,양구군,대학 교수,167,대학원졸,기독교,흡연자,Explicabo eaque veritatis iste perferendis odit. Explicabo corporis harum quibusdam sequi explicabo.,"[15, 20, 10, 15, 40]",https://example.com/profile_112.jpg,8669,23
113,113,춘자,iseonghun@example.com,37,남성,공주시,건축 석공,186,대졸,무교,흡연자,Vero provident veniam est. Hic aliquam ea voluptatum aperiam accusantium maxime.,"[10, 10, 10, 20, 30]",https://example.com/profile_113.jpg,4307,255
114,114,옥순,msong@example.com,37,남성,태백시,간판 제작 및 설치원,163,대학원졸,불교,흡연자,Nam sint veniam unde. Excepturi ullam provident cupiditate iusto qui aliquam. Quae nam ratione pariatur quisquam deleniti sequi.,"[15, 15, 5]",https://example.com/profile_114.jpg,1911,242
115,115,영식,jeongsuryu@example.org,22,여성,속초시,대학 교수,156,고졸,무교,흡연자,"Odit consequuntur sed animi. Delectus enim minus voluptate.
Quia aperiam incidunt eum dolores iusto sed. Odit quidem quo expedita aut.","[30, 10]",https://example.com/profile_115.jpg,4966,105
116,116,예준,yeweongim@example.org,25,여성,철원군,직조기 및 편직기 조작원,161,대졸,무교,비흡연자,Natus eaque enim officiis quia similique.,"[30, 10]",https://example.com/profile_116.jpg,3475,96
117,117,중수,ngim@example.org,32,남성,아산시,정부행정 관리자,158,대졸,불교,흡연자,Itaque labore quisquam est totam. Porro porro corrupti exercitationem in.,"[15, 20, 5, 15, 40, 40]",https://example.com/profile_117.jpg,9072,229
118,118,정희,seohaeun@example.com,34,남성,청주시 청원구,금속가공 기계조작원,158,대학원졸,기독교,비흡연자,Doloremque odit accusamus voluptatum vero. Illo recusandae cum repellendus dolor corporis inventore perspiciatis. Culpa voluptatum dicta adipisci.,"[40, 20, 20, 5]",https://example.com/profile_118.jpg,7274,12
119,119,재호,minjunryu@example.org,32,여성,인제군,어부 및 해녀,158,대졸,기독교,비흡연자,"Quis quas nihil quidem doloremque ipsam dicta.
Perferendis quibusdam repellendus accusantium quis. Veniam occaecati at.","[5, 5, 40, 5, 40, 30]",https://example.com/profile_119.jpg,8612,153
120,120,현주,minsu51@example.net,23,여성,영월군,위관급,167,대졸,기타,비흡연자,Consequuntur excepturi voluptatibus dolorem nihil. Debitis rem temporibus amet laboriosam recusandae doloribus.,"[15, 40, 10, 5, 5]",https://example.com/profile_120.jpg,4182,175
121,121,명숙,ngim@example.net,23,남성,횡성군,전기/전자 및 기계 공학 시험원,172,고졸,기독교,흡연자,Asperiores fugit dolores accusantium sunt. Ducimus nemo culpa. Nam totam autem quo quod.,"[15, 15]",https://example.com/profile_121.jpg,1923,189
122,122,은서,gimhyeonji@example.com,20,여성,금산군,통역가,165,고졸,천주교,비흡연자,Laudantium incidunt impedit veritatis. Ab quasi et.,"[5, 30, 40, 30, 10, 10]",https://example.com/profile_122.jpg,9923,298
123,123,병철,si@example.com,25,남성,성남시 수정구,건축 석공,154,고졸,무교,비흡연자,Quis eum consectetur autem laboriosam ipsa quo. Soluta similique voluptas eos ut veritatis voluptate.,"[40, 10]",https://example.com/profile_123.jpg,1616,231
124,124,채원,jisangho@example.com,32,남성,태안군,물리 및 작업 치료사,171,대졸,천주교,비흡연자,Reiciendis enim in similique amet explicabo amet. Veritatis odio necessitatibus. Veniam veritatis aut odit.,"[5, 30]",https://example.com/profile_124.jpg,7973,288
125,125,영호,rjeon@example.com,37,남성,성남시 수정구,기타 사회복지관련 종사원,155,대학원졸,기독교,흡연자,Fugiat natus blanditiis recusandae harum cumque. Ad aliquam asperiores voluptate impedit nemo rerum.,[10],https://example.com/profile_125.jpg,2505,230
126,126,재호,seongjincoe@example.org,33,여성,여주시,음식서비스관련 관리자,153,고졸,기타,비흡연자,Itaque quis molestias quibusdam. Quod repudiandae asperiores vel exercitationem.,"[5, 10]",https://example.com/profile_126.jpg,1748,185
127,127,은경,yeonghyigim@example.net,23,남성,부천시 소사구,특수교육 교사,181,고졸,기타,비흡연자,"Suscipit dolore animi soluta.
Rem odit rem architecto libero. Id doloremque beatae possimus.","[20, 5, 15, 20, 40]",https://example.com/profile_127.jpg,5855,51
128,128,성호,hyejin49@example.net,39,여성,안산시 단원구,예능 강사,167,대졸,불교,흡연자,Quis architecto occaecati reiciendis numquam ab esse. Quo iusto quis provident.,"[10, 30, 30]",https://example.com/profile_128.jpg,2278,30
129,129,민지,seongmingim@example.org,25,남성,청양군,기타 판매관련 단순 종사원,153,대학원졸,무교,비흡연자,Vero assumenda est id sunt. Minus beatae fuga asperiores. Corporis eos beatae necessitatibus.,"[20, 5, 30]",https://example.com/profile_129.jpg,9990,24
130,130,영환,yeongmi65@example.net,39,남성,고양시 덕양구,직조기 및 편직기 조작원,170,고졸,천주교,비흡연자,Doloremque reiciendis voluptatum atque. Aperiam at maiores exercitationem. Quo cumque alias perferendis natus quidem.,"[40, 5]",https://example.com/profile_130.jpg,7012,49
131,131,서영,junhobag@example.net,30,남성,군포시,용접기 조작원,188,고졸,기독교,비흡연자,Debitis ipsam illum assumenda eius minus voluptas. Autem officia consequuntur minima. Soluta necessitatibus hic maiores. Facere quia eum esse autem.,[40],https://example.com/profile_131.jpg,1160,57
132,132,성훈,jeonghunsong@example.net,35,남성,안성시,전기/전자 부품 및 제품 조립원,168,대학원졸,기독교,흡연자,Hic vel sit vitae est quis provident. Hic tenetur voluptas doloribus. Quas rerum amet fugiat quaerat repellat.,"[20, 20, 30]",https://example.com/profile_132.jpg,4221,163
133,133,정숙,seunghyeoni@example.org,25,여성,연천군,자동차 영업원,186,고졸,천주교,비흡연자,Iste nesciunt amet eos illum. Veritatis accusamus tenetur aspernatur sapiente explicabo rem eos. Eum tempore impedit voluptatum.,"[10, 10, 10]",https://example.com/profile_133.jpg,6698,253
134,134,도현,pgim@example.com,38,남성,양양군,기타 식품가공관련 기계조작원,179,대졸,무교,비흡연자,Eos rerum enim nulla quidem harum eos iste. Officiis ea in delectus culpa quasi accusamus. Perspiciatis eaque esse magni mollitia.,"[40, 15, 30]",https://example.com/profile_134.jpg,8442,148
135,135,옥자,zan@example.net,20,남성,춘천시,식품공학 기술자 및 연구원,171,대학원졸,기독교,흡연자,Voluptatum adipisci consequuntur sapiente. Quidem molestiae vel vero doloribus. Eum animi perspiciatis repudiandae aliquid neque.,"[5, 10, 30, 15, 30, 10]",https://example.com/profile_135.jpg,1436,174
136,136,민준,jiweonbag@example.org,22,여성,괴산군,음식서비스관련 관리자,170,대졸,기타,비흡연자,Vel omnis dolore necessitatibus sapiente. Soluta consequatur assumenda minus qui.,"[15, 15, 5, 10, 30]",https://example.com/profile_136.jpg,4563,62
137,137,상현,sunja51@example.net,33,여성,시흥시,경영 및 진단 전문가,190,고졸,불교,흡연자,Occaecati provident voluptas provident.,"[15, 10]",https://example.com/profile_137.jpg,5590,192
138,138,민지,cunja84@example.org,36,여성,횡성군,기타 제조관련 기계 조작원,189,고졸,불교,비흡연자,Labore ullam ex dolorum. Necessitatibus veniam dignissimos in.,"[20, 20, 30, 5, 30]",https://example.com/profile_138.jpg,421,226
139,139,현주,jgim@example.org,30,여성,충주시,농업용 및 기타 기계장비 설치 및 정비원,155,대졸,불교,비흡연자,Libero ullam laboriosam molestiae quam laudantium. Id cumque cumque minus occaecati labore facere. Cumque quam facere recusandae accusamus.,"[30, 30, 30, 10, 20, 5]",https://example.com/profile_139.jpg,1313,44
140,140,옥자,sangho91@example.net,29,여성,안양시 만안구,정육원 및 도축원,155,대졸,기타,흡연자,Culpa illo quia. Vero cum temporibus maxime nemo quasi deserunt.,"[10, 20]",https://example.com/profile_140.jpg,2023,105
141,141,성호,songyeongsu@example.org,38,남성,횡성군,캐드원,151,대학원졸,기독교,흡연자,Magnam molestias molestiae est fugit. Ipsam odit blanditiis hic vitae. Aliquid eveniet voluptates dicta quas nesciunt.,"[40, 15, 40]",https://example.com/profile_141.jpg,2718,141
142,142,성진,yujin01@example.com,35,남성,계룡시,건축 석공,168,대학원졸,천주교,비흡연자,Libero accusamus cupiditate neque dolor consectetur. Animi commodi veniam minima laboriosam maiores.,"[40, 20, 15]",https://example.com/profile_142.jpg,9187,233
143,143,지아,jeonghunsong@example.net,37,여성,안양시 만안구,주조기 조작원,170,고졸,불교,비흡연자,Nostrum dicta repellat provident. Vitae voluptates enim dolorem quam est facere.,"[5, 5, 10, 40, 30]",https://example.com/profile_143.jpg,5059,28
144,144,영순,yeongho27@example.net,24,여성,시흥시,기타 자동차 운전원,158,대졸,무교,흡연자,Atque nostrum quae quam odit assumenda. Praesentium quos itaque modi excepturi nisi explicabo molestias.,"[5, 15, 10, 20, 20, 10]",https://example.com/profile_144.jpg,7833,183
145,145,승현,pi@example.org,29,남성,보은군,국악 및 전통예능인,185,고졸,기독교,흡연자,"Quas natus similique. Praesentium nulla ex assumenda animi. Libero id tenetur quas.
Soluta tenetur amet iure dolores. Repudiandae earum animi ullam.","[5, 30, 5, 20, 15]",https://example.com/profile_145.jpg,9718,53
146,146,민지,siugim@example.net,24,남성,군포시,건설 및 광업기계 설치 및 정비원,155,대학원졸,불교,흡연자,"Nemo illo eaque aspernatur alias ab.
Suscipit voluptatibus veritatis. Blanditiis itaque repudiandae cumque at dolore vel.","[10, 20, 5, 30]",https://example.com/profile_146.jpg,5488,211
147,147,현우,seongho97@example.org,32,남성,당진시,일식 주방장 및 조리사,174,대졸,기타,흡연자,Magni accusamus esse vero reprehenderit atque culpa facere. Quod voluptatem repellendus laboriosam ad.,"[20, 30]",https://example.com/profile_147.jpg,53,122
148,148,동현,seonghobag@example.net,24,남성,김포시,상품 대여원,182,대졸,불교,비흡연자,Ipsum est aliquam. Doloribus labore enim iure fugiat pariatur nostrum. Nobis unde illo culpa. Non suscipit quia veniam libero.,"[5, 15, 40, 15, 5, 30]",https://example.com/profile_148.jpg,8983,165
149,149,명자,seoyeongsig@example.org,26,여성,용인시 수지구,유치원 교사,158,대학원졸,기독교,비흡연자,"Quod soluta nesciunt a ut ullam. Rem voluptas esse officia ipsam similique placeat.
Nam dolorem doloremque voluptas.","[5, 30]",https://example.com/profile_149.jpg,8590,286
150,150,병철,jieun51@example.net,31,여성,부천시 소사구,정보통신관련 관리자,161,고졸,불교,흡연자,Alias sapiente nam quam. Sequi iure autem animi dolores ratione. Delectus quos ullam eius soluta.,"[30, 10, 30, 15, 5]",https://example.com/profile_150.jpg,2010,182
